smiles,yield
C(CCCO)c1ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1S(=O)(=O)F)Cl,42
C(CCCO)c1ccccc1.C1CCC2=NCCCN2CC1.c1ccnc(c1)S(=O)(=O)F,48
C(CCCO)c1ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,47
C(CCCO)c1ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,52
C(CCCO)c1ccccc1.C1CCC2=NCCCN2CC1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,52
C(CCCO)c1ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1S(=O)(=O)F)Cl,76
C(CCCO)c1ccccc1.CN1CCCN2CCCN=C12.c1ccnc(c1)S(=O)(=O)F,78
C(CCCO)c1ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,87
C(CCCO)c1ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,82
C(CCCO)c1ccccc1.CN1CCCN2CCCN=C12.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,80
C(CCCO)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1S(=O)(=O)F)Cl,78
C(CCCO)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1ccnc(c1)S(=O)(=O)F,79
C(CCCO)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,91
C(CCCO)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,87
C(CCCO)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,84
C(CCCO)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1S(=O)(=O)F)Cl,87
C(CCCO)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1ccnc(c1)S(=O)(=O)F,88
C(CCCO)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,96
C(CCCO)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,83
C(CCCO)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,94
c1(CCC(C)O)ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1S(=O)(=O)F)Cl,40
c1(CCC(C)O)ccccc1.C1CCC2=NCCCN2CC1.c1ccnc(c1)S(=O)(=O)F,57
c1(CCC(C)O)ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,52
c1(CCC(C)O)ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,54
c1(CCC(C)O)ccccc1.C1CCC2=NCCCN2CC1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,39
c1(CCC(C)O)ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1S(=O)(=O)F)Cl,54
c1(CCC(C)O)ccccc1.CN1CCCN2CCCN=C12.c1ccnc(c1)S(=O)(=O)F,59
c1(CCC(C)O)ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,69
c1(CCC(C)O)ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,63
c1(CCC(C)O)ccccc1.CN1CCCN2CCCN=C12.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,60
c1(CCC(C)O)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1S(=O)(=O)F)Cl,41
c1(CCC(C)O)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1ccnc(c1)S(=O)(=O)F,49
c1(CCC(C)O)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,57
c1(CCC(C)O)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,55
c1(CCC(C)O)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,61
c1(CCC(C)O)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1S(=O)(=O)F)Cl,42
c1(CCC(C)O)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1ccnc(c1)S(=O)(=O)F,53
c1(CCC(C)O)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,60
c1(CCC(C)O)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,51
c1(CCC(C)O)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,65
c1(CCC(C)(O)C)ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1S(=O)(=O)F)Cl,0
c1(CCC(C)(O)C)ccccc1.C1CCC2=NCCCN2CC1.c1ccnc(c1)S(=O)(=O)F,4
c1(CCC(C)(O)C)ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,2
c1(CCC(C)(O)C)ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,4
c1(CCC(C)(O)C)ccccc1.C1CCC2=NCCCN2CC1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,9
c1(CCC(C)(O)C)ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1S(=O)(=O)F)Cl,1
c1(CCC(C)(O)C)ccccc1.CN1CCCN2CCCN=C12.c1ccnc(c1)S(=O)(=O)F,5
c1(CCC(C)(O)C)ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,4
c1(CCC(C)(O)C)ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,5
c1(CCC(C)(O)C)ccccc1.CN1CCCN2CCCN=C12.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,18
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1S(=O)(=O)F)Cl,0
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1ccnc(c1)S(=O)(=O)F,0
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,0
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,1
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,17
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1S(=O)(=O)F)Cl,0
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1ccnc(c1)S(=O)(=O)F,0
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,1
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,0
c1(CCC(C)(O)C)ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,22
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1S(=O)(=O)F)Cl,53
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C1CCC2=NCCCN2CC1.c1ccnc(c1)S(=O)(=O)F,63
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,63
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C1CCC2=NCCCN2CC1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,65
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.C1CCC2=NCCCN2CC1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,60
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1S(=O)(=O)F)Cl,88
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CN1CCCN2CCCN=C12.c1ccnc(c1)S(=O)(=O)F,84
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,98
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CN1CCCN2CCCN=C12.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,89
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CN1CCCN2CCCN=C12.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,82
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1S(=O)(=O)F)Cl,94
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1ccnc(c1)S(=O)(=O)F,91
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,106
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,101
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=C(N(C)C)N(C)C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,91
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1S(=O)(=O)F)Cl,94
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1ccnc(c1)S(=O)(=O)F,98
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,104
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,95
c1(c(nc(o1)CCCO)c1ccccc1)c1ccccc1.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,94
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C1CCC2=NCCCN2CC1.c1cc(ccc1S(=O)(=O)F)Cl,53
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C1CCC2=NCCCN2CC1.c1ccnc(c1)S(=O)(=O)F,68
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C1CCC2=NCCCN2CC1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,71
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C1CCC2=NCCCN2CC1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,74
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.C1CCC2=NCCCN2CC1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,54
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CN1CCCN2CCCN=C12.c1cc(ccc1S(=O)(=O)F)Cl,52
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CN1CCCN2CCCN=C12.c1ccnc(c1)S(=O)(=O)F,68
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CN1CCCN2CCCN=C12.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,72
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CN1CCCN2CCCN=C12.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,66
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CN1CCCN2CCCN=C12.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,53
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1S(=O)(=O)F)Cl,49
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=C(N(C)C)N(C)C.c1ccnc(c1)S(=O)(=O)F,69
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,80
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,82
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=C(N(C)C)N(C)C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,76
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1S(=O)(=O)F)Cl,48
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1ccnc(c1)S(=O)(=O)F,67
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,78
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,66
c12c(n(c(=O)n(c1=O)CCCCC(O)C)C)ncn2C.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,72
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C1CCC2=NCCCN2CC1.c1cc(ccc1S(=O)(=O)F)Cl,6
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C1CCC2=NCCCN2CC1.c1ccnc(c1)S(=O)(=O)F,13
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C1CCC2=NCCCN2CC1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,14
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C1CCC2=NCCCN2CC1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,17
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.C1CCC2=NCCCN2CC1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,29
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CN1CCCN2CCCN=C12.c1cc(ccc1S(=O)(=O)F)Cl,17
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CN1CCCN2CCCN=C12.c1ccnc(c1)S(=O)(=O)F,26
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CN1CCCN2CCCN=C12.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,30
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CN1CCCN2CCCN=C12.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,36
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CN1CCCN2CCCN=C12.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,38
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1S(=O)(=O)F)Cl,21
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=C(N(C)C)N(C)C.c1ccnc(c1)S(=O)(=O)F,31
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,34
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=C(N(C)C)N(C)C.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,40
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=C(N(C)C)N(C)C.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,49
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1S(=O)(=O)F)Cl,32
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1ccnc(c1)S(=O)(=O)F,38
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,45
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,49
C1(C(C(C(O1)n1c2c(nc1)c(ncn2)N(Cc1ccccc1)Cc1ccccc1)OCc1ccccc1)OCc1ccccc1)CO.CC(C)(C)N=P(N1CCCC1)(N2CCCC2)N3CCCC3.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,47
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C1CCC2=NCCCN2CC1.c1cc(ccc1S(=O)(=O)F)Cl,43
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C1CCC2=NCCCN2CC1.c1ccnc(c1)S(=O)(=O)F,54
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C1CCC2=NCCCN2CC1.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,54
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C1CCC2=NCCCN2CC1.c1cc(ccc1[N+](=O)[O-])S(=O)(=O)F,58
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].C1CCC2=NCCCN2CC1.C(C(C(F)(F)S(=O)(=O)F)(F)F)(C(F)(F)F)(F)F,52
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].CN1CCCN2CCCN=C12.c1cc(ccc1S(=O)(=O)F)Cl,72
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].CN1CCCN2CCCN=C12.c1ccnc(c1)S(=O)(=O)F,74
c1c(ccc(c1Cl)/N=N/c1ccc(cc1)N(CCO)CC)[N+](=O)[O-].CN1CCCN2CCCN=C12.c1cc(ccc1C(F)(F)F)S(=O)(=O)F,80
